Generation,Min_Cost,Min_Discomfort,Min_CO2
0,1.0744,0.0125661,3.48455
1,1.00647,0.0125661,3.29267
2,0.951318,0.0112434,3.1022
3,0.951318,0.0112434,3.1022
4,0.92471,0.0112434,3.00144
5,0.90866,0.0112434,2.91321
6,0.85677,0.010582,2.72475
7,0.856599,0.010582,2.70115
8,0.834919,0.010582,2.63806
9,0.834919,0.00992063,2.63806
10,0.834919,0.00925926,2.61444
11,0.816198,0.00925926,2.5565
12,0.805601,0.00925926,2.52535
13,0.804028,0.00925926,2.52535
14,0.804028,0.00925926,2.48713
15,0.793996,0.00925926,2.47884
16,0.793996,0.00925926,2.47884
17,0.789939,0.00925926,2.42434
18,0.786539,0.00925926,2.42434
19,0.784815,0.00925926,2.42434
20,0.784815,0.00925926,2.42434
21,0.77981,0.00925926,2.42434
22,0.773282,0.00925926,2.40088
23,0.773282,0.00859788,2.37513
24,0.773282,0.00859788,2.37513
25,0.773282,0.00859788,2.37513
26,0.768258,0.00859788,2.37513
27,0.768258,0.00859788,2.37513
28,0.768258,0.00793651,2.37513
29,0.768159,0.00793651,2.36662
30,0.768159,0.00793651,2.36662
31,0.768159,0.00793651,2.36662
32,0.764759,0.00793651,2.36662
33,0.764759,0.00793651,2.36662
34,0.764759,0.00793651,2.36662
35,0.764759,0.00793651,2.36662
36,0.764759,0.00793651,2.35291
37,0.764759,0.00793651,2.35291
38,0.764759,0.00793651,2.35291
39,0.764759,0.00793651,2.35291
40,0.764759,0.00793651,2.35291
41,0.762136,0.00793651,2.35291
42,0.762136,0.00793651,2.35291
43,0.762136,0.00793651,2.35291
44,0.762136,0.00793651,2.35291
45,0.762136,0.00793651,2.35291
46,0.756354,0.00727513,2.33193
47,0.756354,0.00661376,2.33193
48,0.756354,0.00661376,2.33193
49,0.756354,0.00661376,2.33193
50,0.756354,0.00661376,2.33193
51,0.756354,0.00661376,2.33193
52,0.756354,0.00661376,2.33193
53,0.756354,0.00661376,2.33193
54,0.756354,0.00661376,2.33193
55,0.756354,0.00661376,2.33193
56,0.756354,0.00661376,2.33193
57,0.756354,0.00661376,2.33193
58,0.756354,0.00661376,2.33193
59,0.756354,0.00661376,2.33193
60,0.756354,0.00661376,2.33193
61,0.756354,0.00661376,2.33193
62,0.756354,0.00661376,2.33193
63,0.756354,0.00661376,2.33193
64,0.756354,0.00661376,2.33193
65,0.756354,0.00661376,2.33193
66,0.756354,0.00661376,2.33193
67,0.756354,0.00661376,2.33193
68,0.756354,0.00661376,2.33193
69,0.756354,0.00661376,2.33193
70,0.756354,0.00661376,2.33193
71,0.756354,0.00595238,2.33193
72,0.756354,0.00595238,2.33193
73,0.756354,0.00595238,2.33193
74,0.756354,0.00595238,2.33193
75,0.756354,0.00595238,2.33193
76,0.756354,0.00595238,2.33193
77,0.756354,0.00595238,2.33193
78,0.756354,0.00529101,2.33193
79,0.756354,0.00529101,2.33193
80,0.756354,0.00529101,2.33193
81,0.756354,0.00462963,2.33193
82,0.756354,0.00462963,2.33193
83,0.756354,0.00462963,2.33193
84,0.756354,0.00462963,2.33193
85,0.756354,0.00462963,2.33193
86,0.756354,0.00462963,2.33193
87,0.756354,0.00462963,2.33193
88,0.756354,0.00462963,2.33193
89,0.756354,0.00462963,2.33193
90,0.756354,0.00462963,2.33193
91,0.756354,0.00462963,2.33193
92,0.756354,0.00462963,2.33193
93,0.756354,0.00330688,2.33193
94,0.754854,0.00330688,2.32443
95,0.754854,0.00330688,2.32443
96,0.754854,0.00330688,2.32443
97,0.754854,0.00330688,2.32443
98,0.754854,0.00330688,2.32443
99,0.754854,0.00330688,2.32443
100,0.754854,0.00330688,2.32443
101,0.754854,0.00330688,2.32443
102,0.754854,0.0026455,2.32443
103,0.754854,0.0026455,2.32443
104,0.754854,0.0026455,2.32443
105,0.754854,0.0026455,2.32443
106,0.754854,0.0026455,2.32443
107,0.754854,0.0026455,2.32443
108,0.754854,0.0026455,2.32443
109,0.754854,0.0026455,2.32443
110,0.754854,0.0026455,2.32443
111,0.754854,0.0026455,2.32443
112,0.754854,0.0026455,2.32443
113,0.744749,0.0026455,2.30685
114,0.744749,0.0026455,2.30685
115,0.744749,0.0026455,2.30685
116,0.744749,0.0026455,2.30685
117,0.744749,0.0026455,2.30685
118,0.744749,0.0026455,2.30685
119,0.744749,0.0026455,2.30685
